DATE,PCE
01/01/1959,306.1
01/02/1959,309.6
01/03/1959,312.7
01/04/1959,312.2
01/05/1959,316.1
01/06/1959,318.2
01/07/1959,317.8
01/08/1959,320.2
01/09/1959,324.2
01/10/1959,
01/11/1959,322.9
01/12/1959,322.9
01/01/1960,323.6
01/02/1960,325.3
01/03/1960,
01/04/1960,336.5
01/05/1960,330
01/06/1960,330.1
01/07/1960,331.4
01/08/1960,331.6
01/09/1960,333.4
01/10/1960,335.4
01/11/1960,335.4
01/12/1960,331.3
01/01/1961,332.2
01/02/1961,333.7
01/03/1961,337.7
01/04/1961,337.6
01/05/1961,
01/06/1961,340.9
01/07/1961,340.6
01/08/1961,342.1
01/09/1961,344.4
01/10/1961,346.5
01/11/1961,
01/12/1961,352.4
01/01/1962,353.2
01/02/1962,354
01/03/1962,357.4
01/04/1962,359
01/05/1962,362
01/06/1962,360.4
01/07/1962,361.4
01/08/1962,362.9
01/09/1962,368.8
01/10/1962,366.5
01/11/1962,371.7
01/12/1962,
01/01/1963,374.4
01/02/1963,373.4
01/03/1963,375
01/04/1963,376.4
01/05/1963,377.2
01/06/1963,381.7
01/07/1963,384.4
01/08/1963,386.3
01/09/1963,
01/10/1963,386
01/11/1963,389.4
01/12/1963,394.7
01/01/1964,396.8
01/02/1964,400.2
01/03/1964,401.8
01/04/1964,402.8
01/05/1964,408.4
01/06/1964,411.4
01/07/1964,414.9
01/08/1964,
01/09/1964,416.6
01/10/1964,419.6
01/11/1964,416.4
01/12/1964,421
01/01/1965,424.4
01/02/1965,431.4
01/03/1965,433.3
01/04/1965,437.1
01/05/1965,437.6
01/06/1965,435.2
01/07/1965,441
01/08/1965,444.4
01/09/1965,452
01/10/1965,458.5
01/11/1965,459.1
01/12/1965,461.7
01/01/1966,465.2
01/02/1966,470.2
01/03/1966,475
01/04/1966,476.9
01/05/1966,473.1
01/06/1966,475.5
01/07/1966,480.6
01/08/1966,483.2
01/09/1966,489.2
01/10/1966,488.3
01/11/1966,490.1
01/12/1966,491.8
01/01/1967,
01/02/1967,
01/03/1967,495.8
01/04/1967,501.3
01/05/1967,502.2
01/06/1967,506.8
01/07/1967,506.7
01/08/1967,509.8
01/09/1967,515.6
01/10/1967,512.2
01/11/1967,517.4
01/12/1967,525.1
01/01/1968,530.9
01/02/1968,533.6
01/03/1968,544.3
01/04/1968,544
01/05/1968,549.8
01/06/1968,556.3
01/07/1968,563.2
01/08/1968,567
01/09/1968,568.2
01/10/1968,571.6
01/11/1968,576.7
01/12/1968,576.5
01/01/1969,583.5
01/02/1969,
01/03/1969,588.9
01/04/1969,593.9
01/05/1969,600.3
01/06/1969,600.9
01/07/1969,602.7
01/08/1969,609.9
01/09/1969,613.2
01/10/1969,618.5
01/11/1969,620.5
01/12/1969,622.8
01/01/1970,
01/02/1970,634
01/03/1970,632.3
01/04/1970,636
01/05/1970,642.4
01/06/1970,646.3
01/07/1970,648.5
01/08/1970,652.9
01/09/1970,659.1
01/10/1970,
01/11/1970,656.6
01/12/1970,665.6
01/01/1971,676.1
01/02/1971,679.4
01/03/1971,682
01/04/1971,688.8
01/05/1971,691.1
01/06/1971,699.8
01/07/1971,698.9
01/08/1971,704.9
01/09/1971,713
01/10/1971,715.8
01/11/1971,720.9
01/12/1971,728.4
01/01/1972,731.5
01/02/1972,736.2
01/03/1972,749.2
01/04/1972,752.5
01/05/1972,758
01/06/1972,761.6
01/07/1972,769.9
01/08/1972,
01/09/1972,781.1
01/10/1972,794.9
01/11/1972,800.5
01/12/1972,806.1
01/01/1973,816.5
01/02/1973,825.8
01/03/1973,832.8
01/04/1973,835.7
01/05/1973,841.6
01/06/1973,844.3
01/07/1973,854.1
01/08/1973,853.3
01/09/1973,869.2
01/10/1973,868.2
01/11/1973,
01/12/1973,876.6
01/01/1974,884.5
01/02/1974,889.7
01/03/1974,901.4
01/04/1974,910.8
01/05/1974,
01/06/1974,928
01/07/1974,937.9
01/08/1974,954.8
01/09/1974,955.1
01/10/1974,959.2
01/11/1974,956.2
01/12/1974,961.8
01/01/1975,975.6
01/02/1975,989.4
01/03/1975,990.6
01/04/1975,
01/05/1975,1018.9
01/06/1975,1026.8
01/07/1975,1039.8
01/08/1975,1047
01/09/1975,1054.8
01/10/1975,1060.9
01/11/1975,1075.8
01/12/1975,1092.1
01/01/1976,
01/02/1976,1107.7
01/03/1976,
01/04/1976,1125.4
01/05/1976,1122.7
01/06/1976,1140.5
01/07/1976,1149.6
01/08/1976,1158
01/09/1976,1168.8
01/10/1976,1176.8
01/11/1976,1189
01/12/1976,1211.5
01/01/1977,1215
01/02/1977,1231.3
01/03/1977,1238.3
01/04/1977,1247.3
01/05/1977,1257.1
01/06/1977,1263.6
01/07/1977,1280.5
01/08/1977,1285.7
01/09/1977,1294.5
01/10/1977,1311.4
01/11/1977,1327
01/12/1977,1336
01/01/1978,1329.5
01/02/1978,1355.1
01/03/1978,1377.5
01/04/1978,1396.4
01/05/1978,1412
01/06/1978,1425.8
01/07/1978,1426.8
01/08/1978,1447
01/09/1978,1452.9
01/10/1978,1466.9
01/11/1978,1480.6
01/12/1978,
01/01/1979,1502.4
01/02/1979,1517.8
01/03/1979,1531.2
01/04/1979,
01/05/1979,1558.8
01/06/1979,1575.7
01/07/1979,1586.1
01/08/1979,1615.6
01/09/1979,1633.9
01/10/1979,1641.6
01/11/1979,1657.3
01/12/1979,1666.3
01/01/1980,1697.3
01/02/1980,
01/03/1980,1708.2
